Year,TotalHT,TotalC,TotalS,Waterbodies,UniqueCounties
2012,9,32,20,61,61
2013,24,38,16,79,79
2014,31,43,38,92,93
2015,37,56,42,131,131
2016,38,96,48,176,176
2017,38,83,0,169,169
